builder_name:             hanse yachts
type_name:                hanse 370
category:                 zeiljacht
build_material:           polyester
build_year:               2006.0
asking_price_euros:       89500.0
length_over_all_meters:   11.35
width_meters:             3.75
draft_meters:             1.95
displaces_kgs:            6500.0
ballast_kgs:              2200.0
steering:                 wheel
engine_name:              yanmar
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92325/XXX
