builder_name:             hanse yachts
type_name:                hanse hanse 630e
category:                 zeiljacht
build_material:           epoxy composiet
build_year:               2008.0
asking_price_euros:       550000.0
length_over_all_meters:   19.0
width_meters:             5.2
draft_meters:             2.95
displaces_kgs:            23700.0
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94357/XXX
