builder_name:             hurley marine ltd.
type_name:                hurley 800 comfort
category:                 zeiljacht
build_material:           polyester
build_year:               1999.0
asking_price_euros:       26475.0
length_over_all_meters:   8.3
width_meters:             2.75
draft_meters:             1.4
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/93816/XXX
