builder_name:             hanse yachts
type_name:                hanse 370
category:                 zeiljacht
build_material:           polyester
build_year:               2009.0
asking_price_euros:       99900.0
length_over_all_meters:   11.35
width_meters:             3.75
draft_meters:             1.95
displaces_kgs:            7200.0
ballast_kgs:              None
steering:                 None
engine_name:              yanmar
engine_build_year:        2009.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92818/XXX
