builder_name:             elan yachts (slo)
type_name:                elan elan 33
category:                 zeiljacht
build_material:           polyester
build_year:               1991.0
asking_price_euros:       32000.0
length_over_all_meters:   10.3
width_meters:             3.3
draft_meters:             1.8
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92933/XXX
