builder_name:             hallberg-rassy
type_name:                hallberg rassy 35
category:                 zeiljacht
build_material:           polyester
build_year:               1978.0
asking_price_euros:       39500.0
length_over_all_meters:   10.6
width_meters:             3.5
draft_meters:             1.35
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/87711/XXX
