builder_name:             bavaria yachts (ger)
type_name:                bavaria 37 cr-3
category:                 zeiljacht
build_material:           polyester
build_year:               2006.0
asking_price_euros:       79500.0
length_over_all_meters:   11.35
width_meters:             3.8
draft_meters:             1.95
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/87664/XXX
