builder_name:             hallberg-rassy
type_name:                hallberg rassy 352
category:                 zeiljacht
build_material:           polyester
build_year:               1986.0
asking_price_euros:       69500.0
length_over_all_meters:   10.54
width_meters:             3.38
draft_meters:             1.67
displaces_kgs:            700.0
ballast_kgs:              None
steering:                 wheel
engine_name:              volvo
engine_build_year:        1986.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/94483/XXX
