builder_name:             contest yachts - conyplex
type_name:                contest 36s
category:                 zeiljacht
build_material:           polyester
build_year:               1985.0
asking_price_euros:       57000.0
length_over_all_meters:   10.92
width_meters:             3.55
draft_meters:             1.4
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/91567/XXX
