builder_name:             jeanneau (fra)
type_name:                jeanneau  sun odyssey 42.2
category:                 zeiljacht
build_material:           polyester
build_year:               1998.0
asking_price_euros:       79500.0
length_over_all_meters:   12.85
width_meters:             4.1
draft_meters:             2.0
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92815/XXX
