builder_name:             hallberg-rassy
type_name:                hallberg rassy hallberg rassy 36
category:                 zeiljacht
build_material:           overig
build_year:               1994.0
asking_price_euros:       99000.0
length_over_all_meters:   10.87
width_meters:             3.55
draft_meters:             1.7
displaces_kgs:            7500.0
ballast_kgs:              None
steering:                 None
engine_name:              volvo
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92844/XXX
