builder_name:             beneteau usa
type_name:                beneteau oceanis 281
category:                 zeiljacht
build_material:           polyester
build_year:               1995.0
asking_price_euros:       27500.0
length_over_all_meters:   8.7
width_meters:             2.87
draft_meters:             1.15
displaces_kgs:            2600.0
ballast_kgs:              900.0
steering:                 tiller
engine_name:              volvo
engine_build_year:        1995.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/89052/XXX
