builder_name:             dehler yachts
type_name:                dehler 41 cruising
category:                 zeiljacht
build_material:           polyester
build_year:               1998.0
asking_price_euros:       114900.0
length_over_all_meters:   12.45
width_meters:             3.9
draft_meters:             1.95
displaces_kgs:            300.0
ballast_kgs:              None
steering:                 None
engine_name:              yanmar
engine_build_year:        1998.0
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/95107/XXX
