builder_name:             etap yachting
type_name:                etap 46 ds
category:                 zeiljacht
build_material:           polyester
build_year:               2006.0
asking_price_euros:       349000.0
length_over_all_meters:   14.46
width_meters:             4.4
draft_meters:             1.55
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/91006/XXX
