builder_name:             jeanneau (fra)
type_name:                jeanneau jeanneau sun odyssey 45.2
category:                 zeiljacht
build_material:           polyester
build_year:               2002.0
asking_price_euros:       118988.0
length_over_all_meters:   13.72
width_meters:             4.48
draft_meters:             2.0
displaces_kgs:            9000.0
ballast_kgs:              None
steering:                 None
engine_name:              yanmar
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92706/XXX
