builder_name:             elan yachts (slo)
type_name:                elan 384 impression
category:                 zeiljacht
build_material:           polyester
build_year:               2007.0
asking_price_euros:       105000.0
length_over_all_meters:   11.55
width_meters:             3.91
draft_meters:             1.5
displaces_kgs:            None
ballast_kgs:              None
steering:                 None
engine_name:              None
engine_build_year:        None
standing_height_meters:   None
url:                      https://www.yachtfocus.com/gebruikte-boten-te-koop/details/XXX/92285/XXX
